Country Name,Country Code,IntUsrs2000,IntUsrs2001,IntUsrs2002,IntUsrs2003,IntUsrs2004,IntUsrs2005,IntUsrs2006,IntUsrs2007,IntUsrs2008,IntUsrs2009,IntUsrs2010,IntUsrs2011,IntUsrs2012,IntUsrs2013,IntUsrs2014
Euro area,EMU,22.5,27.3,35.2,42.1,47.5,51.2,54.9,61.4,64.8,67.1,71,72.1,74.1,75.8,78.3
Europe & Central Asia,ECS,13.2,16.4,23.1,28.4,32.4,35.2,38.1,43.7,47.4,50.7,56.2,59.2,63.9,66.3,69.2
Europe & Central Asia (excluding high income),ECA,2,2.9,5,7.3,10.7,12.5,15,20.4,23.9,27.8,35.9,41.4,49.5,52.8,56.1
European Union,EUU,20.6,25.3,35.1,41.8,46.8,51,54.5,60.3,64.2,67.2,70.6,71.6,73.7,75.5,78.1
Heavily indebted poor countries (HIPC),HPC,0.2,0.3,0.4,0.6,0.9,1.2,1.6,2.4,2.5,3.2,4.9,5.4,6.4,7.3,8.9
High income,HIC,30.6,36.6,45.1,49.8,55,58.7,61.4,66.8,68.9,70.1,72.2,72.8,76.8,80.7,83
Latin America & Caribbean,LCN,3.9,5.7,8.9,11.3,14.4,16.6,20.8,23.7,26.5,31,34.7,39.3,43.4,46.5,50.2
Latin America & Caribbean (excluding high income),LAC,3.1,4.7,8.1,10.6,13.7,15.9,20.1,23,25.8,30.3,33.4,37.8,41.5,44.5,48
Least developed countries: UN classification,LDC,0.1,0.1,0.2,0.4,0.6,0.8,1.1,2,2.2,2.8,4.5,5.1,5.9,7.1,8.6
Low & middle income,LMY,1.4,2,3.4,4.5,5.8,6.8,8.5,11,13.9,16.7,20.4,23.5,26.7,29.4,32.2
Low income,LIC,0.1,0.2,0.3,0.6,0.8,1.1,1.3,1.6,2.1,2.5,3.5,3.9,4.5,5.8,6.5
Lower middle income,LMC,0.6,0.9,1.6,2.1,2.9,3.7,4.6,5.9,7.4,8.7,11.8,14.5,17.2,19.6,22.6
Middle East & North Africa,MEA,1.7,2.1,3.8,5.1,8.4,9.8,11.8,15,18.7,21.6,24.9,27.7,31.3,34.7,38.3
Middle East & North Africa (excluding high income),MNA,0.8,1.1,2.8,4.1,7.4,8.5,9.9,11.8,15,17.7,20.6,22.8,25.8,29,32.7
Middle income,MIC,1.5,2.2,3.7,4.9,6.2,7.4,9.1,12,15.1,18.1,22.2,25.5,29.1,31.9,35.1
North America,NAC,43.9,50.2,59.1,61.9,64.9,68.3,69.3,74.8,74.3,71.9,72.5,71,79.7,84.4,87.3
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,27.9,33.5,41.6,45.8,50.6,54.2,56.6,61.9,63.9,65.3,67.6,68.6,72.2,75.8,78.1
Other small states,OSS,5.5,6.8,8.9,10.6,12.4,13.2,14.5,16.4,18.9,20.9,24.2,27.5,29.9,33,35.6
Pacific island small states,PSS,1.5,1.9,4,4.5,5.2,5.6,6.5,7.4,8.7,10.9,13,17.7,20.9,22.9,26.6
Small states,SST,5.1,6.8,9.1,11.1,12.8,13.9,15.5,17.5,20.1,22.5,25.8,29.9,32,35,37.7
South Asia,SAS,0.5,0.7,1.5,1.8,2.2,2.5,3,4,4.4,5.2,7.2,9.4,11.5,13.8,16.6
Sub-Saharan Africa,SSF,0.5,0.6,0.9,1.2,1.6,2.1,3.1,3.8,5.8,7.1,10,12.5,14.6,16.9,19.2
Sub-Saharan Africa (excluding high income),SSA,0.5,0.6,0.9,1.2,1.6,2.1,3.1,3.8,5.8,7.1,10,12.5,14.6,16.9,19.2
Upper middle income,UMC,2.4,3.5,5.9,7.8,9.7,11.3,13.8,18.5,23.2,28.2,33.4,37.7,42.2,45.6,49.1
World,WLD,6.8,8.1,10.6,12.3,14.2,15.8,17.6,20.6,23.3,25.8,29.2,31.8,35.1,38,40.7
